metric,comparison,cohens_d,label
theta_plane_mean,spherical vs oblate,49.544224453680116,very large
theta_plane_mean,spherical vs prolate,188.0757535489502,very large
theta_plane_mean,oblate vs prolate,97.54999472146821,very large
precession_max,spherical vs oblate,inf,very large
precession_max,spherical vs prolate,inf,very large
precession_max,oblate vs prolate,inf,very large
precession_slope,spherical vs oblate,inf,very large
precession_slope,spherical vs prolate,inf,very large
precession_slope,oblate vs prolate,inf,very large
thickness_slope,spherical vs oblate,0.4056677461319618,small
thickness_slope,spherical vs prolate,0.4570202664143494,small
thickness_slope,oblate vs prolate,0.9324407138384418,large
elongation_ratio,spherical vs oblate,0.7978008764028472,moderate
elongation_ratio,spherical vs prolate,0.5295330124206453,moderate
elongation_ratio,oblate vs prolate,0.27369884047234516,small
oscillation_amp,spherical vs oblate,29.002473807125114,very large
oscillation_amp,spherical vs prolate,135.83026997041785,very large
oscillation_amp,oblate vs prolate,55.50022429668611,very large
